patient	sample
BC01	BC01
BC01	BC01
BC01	BC01
BC01	BC01
BC01	BC01
BC01	BC01
BC01	BC01
BC01	BC01
BC01	BC01
BC01	BC01
BC01	BC01
BC01	BC01
BC01	BC01
BC01	BC01
BC01	BC01
BC01	BC01
BC01	BC01
BC01	BC01
BC01	BC01
BC01	BC01
BC01	BC01
BC04	BC04
BC04	BC04
BC04	BC04
BC04	BC04
BC04	BC04
BC04	BC04
BC04	BC04
BC04	BC04
BC04	BC04
BC04	BC04
BC04	BC04
BC04	BC04
BC04	BC04
BC04	BC04
BC04	BC04
BC04	BC04
BC04	BC04
BC04	BC04
BC04	BC04
BC04	BC04
BC04	BC04
BC04	BC04
BC04	BC04
BC04	BC04
BC04	BC04
BC04	BC04
BC04	BC04
BC04	BC04
BC04	BC04
BC04	BC04
BC04	BC04
BC04	BC04
BC04	BC04
BC04	BC04
BC04	BC04
BC04	BC04
BC04	BC04
BC04	BC04
BC04	BC04
BC04	BC04
BC04	BC04
BC04	BC04
BC04	BC04
BC04	BC04
BC04	BC04
BC04	BC04
BC04	BC04
BC04	BC04
BC03	BC03
BC03	BC03
BC03	BC03
BC03	BC03
BC03	BC03
BC03	BC03
BC03	BC03
BC03	BC03
BC03	BC03
BC03	BC03
BC03	BC03
BC03	BC03
BC03	BC03
BC03	BC03
BC03	BC03
BC03	BC03
BC03	BC03
BC03	BC03
BC03	BC03
BC03	BC03
BC03	BC03
BC03	BC03
BC03	BC03
BC03	BC03
BC03	BC03
BC03	BC03
BC03	BC03
BC03	BC03
BC03	BC03
BC03	BC03LN
BC03	BC03LN
BC03	BC03LN
BC03	BC03LN
BC03	BC03LN
BC03	BC03LN
BC03	BC03LN
BC03	BC03LN
BC03	BC03LN
BC03	BC03LN
BC03	BC03LN
BC03	BC03LN
BC03	BC03LN
BC03	BC03LN
BC03	BC03LN
BC03	BC03LN
BC03	BC03LN
BC03	BC03LN
BC03	BC03LN
BC03	BC03LN
BC03	BC03LN
BC03	BC03LN
BC03	BC03LN
BC03	BC03LN
BC03	BC03LN
BC03	BC03LN
BC03	BC03LN
BC03	BC03LN
BC03	BC03LN
BC03	BC03LN
BC03	BC03LN
BC03	BC03LN
BC03	BC03LN
BC03	BC03LN
BC03	BC03LN
BC03	BC03LN
BC03	BC03LN
BC03	BC03LN
BC03	BC03LN
BC03	BC03LN
BC03	BC03LN
BC03	BC03LN
BC03	BC03LN
BC03	BC03LN
BC03	BC03LN
BC03	BC03LN
BC03	BC03LN
BC03	BC03LN
BC03	BC03LN
BC03	BC03LN
BC03	BC03LN
BC07	BC07
BC07	BC07
BC07	BC07
BC07	BC07
BC07	BC07
BC07	BC07
BC07	BC07
BC07	BC07
BC07	BC07
BC07	BC07
BC07	BC07
BC07	BC07
BC07	BC07
BC07	BC07
BC07	BC07
BC07	BC07
BC07	BC07
BC07	BC07
BC07	BC07
BC07	BC07
BC07	BC07
BC07	BC07
BC07	BC07
BC07	BC07
BC07	BC07
BC07	BC07
BC07	BC07
BC07	BC07
BC07	BC07
BC07	BC07
BC07	BC07
BC07	BC07
BC07	BC07
BC07	BC07
BC07	BC07
BC07	BC07
BC07	BC07
BC07	BC07
BC07	BC07
BC07	BC07
BC07	BC07
BC07	BC07
BC07	BC07
BC07	BC07
BC07	BC07
BC07	BC07
BC07	BC07
BC07	BC07LN
BC07	BC07LN
BC07	BC07LN
BC07	BC07LN
BC07	BC07LN
BC07	BC07LN
BC07	BC07LN
BC07	BC07LN
BC07	BC07LN
BC07	BC07LN
BC07	BC07LN
BC07	BC07LN
BC07	BC07LN
BC07	BC07LN
