sample	patient	Cell_type	plate_id	neoplastic	tissue	tsne_cluster	well
SRR3934349	BT_S2	Neoplastic	1001000173	Neoplastic	Tumor	11	G8
SRR3934350	BT_S2	Oligodendrocyte	1001000173	Regular	Tumor	2	D4
SRR3934351	BT_S2	Neoplastic	1001000173	Neoplastic	Tumor	11	B4
SRR3934352	BT_S2	Neoplastic	1001000173	Neoplastic	Tumor	11	A2
SRR3934353	BT_S2	Neoplastic	1001000173	Neoplastic	Tumor	11	E2
SRR3934354	BT_S2	Neoplastic	1001000173	Neoplastic	Tumor	11	F6
SRR3934355	BT_S2	Neoplastic	1001000173	Neoplastic	Tumor	11	B12
SRR3934356	BT_S2	OPC	1001000173	Regular	Tumor	9	D6
SRR3934357	BT_S2	Neoplastic	1001000173	Neoplastic	Tumor	11	H1
SRR3934358	BT_S2	Neoplastic	1001000173	Neoplastic	Tumor	11	E4
SRR3934359	BT_S2	Immune cell	1001000173	Regular	Tumor	8	B6
SRR3934360	BT_S2	Neoplastic	1001000173	Neoplastic	Tumor	11	C2
SRR3934361	BT_S2	Neoplastic	1001000173	Neoplastic	Tumor	11	F4
SRR3934362	BT_S2	Neoplastic	1001000173	Neoplastic	Tumor	11	E10
SRR3934363	BT_S2	Neoplastic	1001000173	Neoplastic	Tumor	11	E6
SRR3934364	BT_S2	Neoplastic	1001000173	Neoplastic	Tumor	11	C4
SRR3934365	BT_S2	Oligodendrocyte	1001000173	Regular	Tumor	2	B1
SRR3934366	BT_S2	Neoplastic	1001000173	Neoplastic	Tumor	11	B10
SRR3934367	BT_S2	Neoplastic	1001000173	Neoplastic	Tumor	11	A7
SRR3934368	BT_S2	Neoplastic	1001000173	Neoplastic	Tumor	11	B8
SRR3934369	BT_S2	Neoplastic	1001000173	Neoplastic	Tumor	11	F9
SRR3934370	BT_S2	Neoplastic	1001000173	Neoplastic	Tumor	11	G6
SRR3934371	BT_S2	Neoplastic	1001000173	Neoplastic	Tumor	11	A9
SRR3934372	BT_S2	Neoplastic	1001000173	Neoplastic	Tumor	11	D2
SRR3934373	BT_S2	Neoplastic	1001000173	Neoplastic	Tumor	11	F2
SRR3934374	BT_S2	Neoplastic	1001000173	Neoplastic	Tumor	11	H9
SRR3934375	BT_S2	Neoplastic	1001000173	Neoplastic	Tumor	11	G1
SRR3934376	BT_S2	Neoplastic	1001000173	Neoplastic	Tumor	11	B3
SRR3934377	BT_S2	Neoplastic	1001000173	Neoplastic	Tumor	11	D7
SRR3934378	BT_S2	Neoplastic	1001000173	Neoplastic	Tumor	11	A12
SRR3934379	BT_S2	Neoplastic	1001000173	Neoplastic	Tumor	11	C1
SRR3934380	BT_S2	Neoplastic	1001000173	Neoplastic	Tumor	11	H7
SRR3934381	BT_S2	Neoplastic	1001000173	Neoplastic	Tumor	11	H5
SRR3934382	BT_S2	Neoplastic	1001000173	Neoplastic	Tumor	11	G2
SRR3934383	BT_S2	Neoplastic	1001000173	Neoplastic	Tumor	11	A3
SRR3934384	BT_S2	Neoplastic	1001000173	Neoplastic	Tumor	11	D3
SRR3934385	BT_S2	Neoplastic	1001000173	Neoplastic	Tumor	11	E1
SRR3934386	BT_S2	Neoplastic	1001000173	Neoplastic	Tumor	11	G12
SRR3934387	BT_S2	Neoplastic	1001000173	Neoplastic	Tumor	11	C10
SRR3934388	BT_S2	Neoplastic	1001000173	Neoplastic	Tumor	11	C3
SRR3934389	BT_S2	Immune cell	1001000173	Regular	Tumor	7	D11
SRR3934390	BT_S2	Neoplastic	1001000173	Neoplastic	Tumor	11	A5
SRR3934391	BT_S2	Neoplastic	1001000173	Neoplastic	Tumor	11	G4
SRR3934392	BT_S2	Neoplastic	1001000173	Neoplastic	Tumor	11	B11
SRR3934393	BT_S2	Neoplastic	1001000173	Neoplastic	Tumor	11	G9
SRR3934394	BT_S2	Neoplastic	1001000173	Neoplastic	Tumor	11	F1
SRR3934395	BT_S2	Neoplastic	1001000173	Neoplastic	Tumor	11	D8
SRR3934396	BT_S2	Neoplastic	1001000173	Neoplastic	Tumor	11	E12
SRR3934397	BT_S2	Neoplastic	1001000173	Neoplastic	Tumor	11	F11
SRR3934398	BT_S2	Neoplastic	1001000173	Neoplastic	Tumor	11	E5
SRR3934399	BT_S2	Neoplastic	1001000173	Neoplastic	Tumor	11	G10
SRR3934400	BT_S2	Neoplastic	1001000173	Neoplastic	Tumor	11	B9
SRR3934401	BT_S2	Immune cell	1001000173	Regular	Tumor	8	F8
SRR3934402	BT_S2	Neoplastic	1001000173	Neoplastic	Tumor	11	C7
SRR3934403	BT_S2	Neoplastic	1001000173	Neoplastic	Tumor	11	B2
SRR3934404	BT_S2	Neoplastic	1001000173	Neoplastic	Tumor	11	H4
SRR3934405	BT_S2	Immune cell	1001000173	Regular	Tumor	8	D1
SRR3934406	BT_S2	Neoplastic	1001000174	Neoplastic	Tumor	11	G5
SRR3934407	BT_S2	Neoplastic	1001000174	Neoplastic	Tumor	11	H9
SRR3934408	BT_S2	Immune cell	1001000174	Regular	Tumor	7	H2
SRR3934409	BT_S2	Neoplastic	1001000174	Neoplastic	Tumor	11	E12
SRR3934410	BT_S2	Neoplastic	1001000174	Neoplastic	Tumor	11	A10
SRR3934411	BT_S2	Neoplastic	1001000174	Neoplastic	Tumor	11	G10
SRR3934412	BT_S2	Neoplastic	1001000174	Neoplastic	Tumor	11	C8
SRR3934413	BT_S2	Neoplastic	1001000174	Neoplastic	Tumor	11	F6
SRR3934414	BT_S2	Neoplastic	1001000174	Neoplastic	Tumor	11	B4
SRR3934415	BT_S2	Neoplastic	1001000174	Neoplastic	Tumor	11	H7
SRR3934416	BT_S2	Neoplastic	1001000174	Neoplastic	Tumor	11	E10
SRR3934417	BT_S2	Neoplastic	1001000174	Neoplastic	Tumor	11	D5
SRR3934418	BT_S2	Neoplastic	1001000174	Neoplastic	Tumor	11	E5
SRR3934419	BT_S2	Neoplastic	1001000174	Neoplastic	Tumor	11	B11
SRR3934420	BT_S2	Neoplastic	1001000174	Neoplastic	Tumor	11	F10
SRR3934421	BT_S2	Neoplastic	1001000174	Neoplastic	Tumor	11	A5
SRR3934422	BT_S2	Neoplastic	1001000174	Neoplastic	Tumor	11	B8
SRR3934423	BT_S2	Neoplastic	1001000174	Neoplastic	Tumor	11	F2
SRR3934424	BT_S2	Neoplastic	1001000174	Neoplastic	Tumor	11	F9
SRR3934425	BT_S2	Neoplastic	1001000174	Neoplastic	Tumor	11	F4
SRR3934426	BT_S2	Immune cell	1001000174	Regular	Tumor	8	C10
SRR3934427	BT_S2	Neoplastic	1001000174	Neoplastic	Tumor	11	B6
SRR3934428	BT_S2	Neoplastic	1001000174	Neoplastic	Tumor	11	E2
